cgpa,college_tier,branch,internship_count,project_count,skills_score,communication_score,certifications,dsa_score,placed
6.29,2,ECE,0,3,4,6,1,4,0
6.05,2,ECE,1,4,6,8,2,6,0
7.22,2,ME,1,4,6,6,2,6,0
7.78,2,ME,2,4,6,6,2,6,1
7.63,2,ME,1,4,6,5,2,6,1
7.99,2,ECE,1,4,5,7,2,5,1
7.5,2,ECE,1,4,6,4,2,6,0
8.0,2,ME,0,4,4,5,1,4,0
6.24,2,Civil,0,3,3,10,1,3,0
7.08,2,ME,2,4,7,6,2,7,0
5.42,2,Civil,0,2,1,7,0,1,0
7.48,2,ECE,2,5,9,8,3,9,1
7.58,2,CSE,1,5,8,1,3,8,0
6.74,2,ECE,2,4,7,6,2,7,1
6.11,2,ECE,1,3,5,5,1,5,0
6.79,2,ECE,0,3,5,5,2,5,1
7.41,2,IT,0,3,3,5,1,3,0
5.97,2,CSE,0,3,6,4,2,6,0
6.69,2,CSE,1,4,8,7,2,8,1
7.95,2,Civil,1,4,5,6,2,5,1
7.3,2,ME,1,4,7,8,2,7,1
7.02,2,ME,0,3,3,8,1,3,0
7.29,2,ECE,0,3,3,6,1,3,0
7.69,2,ME,1,3,4,5,1,4,0
8.47,2,CSE,2,5,9,3,3,9,0
7.97,2,ECE,1,4,7,5,2,7,1
7.58,2,ECE,2,4,5,4,2,5,0
7.08,2,Civil,2,4,7,7,2,7,1
6.89,2,CSE,1,4,8,5,2,8,1
7.49,2,ECE,2,4,5,3,2,5,0
6.69,2,IT,1,3,4,7,1,4,0
6.29,2,ME,1,3,3,4,1,3,0
8.0,2,Civil,0,4,5,7,2,5,1
7.27,2,CSE,0,4,5,5,2,5,1
8.17,2,Civil,1,4,4,6,2,4,0
7.83,2,ECE,1,5,9,5,3,9,1
6.9,2,IT,1,4,6,7,2,6,1
5.22,2,Civil,0,3,4,4,1,4,0
6.09,2,CSE,1,3,5,5,2,5,0
6.35,2,IT,0,3,3,8,1,3,0
5.63,2,IT,1,3,6,5,2,6,0
7.78,2,CSE,1,4,7,6,2,7,1
7.67,2,CSE,3,5,8,6,2,8,1
5.52,2,CSE,0,3,4,6,1,4,0
6.1,2,ME,1,4,6,6,2,6,0
6.4,2,CSE,1,4,7,4,2,7,0
8.18,2,Civil,0,4,5,3,2,5,0
6.96,2,ECE,2,3,5,5,2,5,1
5.37,2,Civil,0,3,4,8,1,4,0
7.72,2,ME,0,3,3,5,1,3,0
6.04,2,IT,0,3,3,7,1,3,0
8.64,2,IT,0,4,5,5,2,5,1
8.19,2,ECE,1,5,7,4,2,7,0
6.74,2,ECE,1,4,6,8,2,6,1
6.96,2,Civil,1,3,4,3,1,4,0
8.03,2,ME,3,5,7,6,2,7,1
9.04,2,Civil,1,5,6,5,2,6,1
7.61,2,ME,1,4,6,7,2,6,0
8.09,2,ME,1,5,7,5,2,7,1
7.04,2,ME,1,3,2,6,1,2,0
6.52,2,ME,0,3,4,4,1,4,0
6.31,2,IT,0,2,2,5,1,2,0
6.59,2,ECE,1,3,5,6,2,5,1
5.92,2,Civil,1,3,5,5,2,5,0
7.27,2,ECE,1,5,9,6,3,9,1
5.85,2,IT,0,3,6,5,2,6,0
7.5,2,Civil,2,4,5,7,2,5,1
7.08,2,CSE,1,4,6,5,2,6,1
9.26,2,Civil,2,5,8,5,3,8,1
8.21,2,ECE,1,5,7,5,3,7,1
6.79,2,IT,0,3,5,4,2,5,0
7.06,2,Civil,0,3,4,8,1,4,0
6.04,2,IT,1,3,5,6,2,5,0
7.27,2,IT,1,5,10,4,3,10,0
7.56,2,CSE,2,5,8,8,3,8,1
5.75,2,CSE,0,3,4,4,1,4,0
5.8,2,IT,1,3,5,6,1,5,0
6.12,2,CSE,2,3,5,7,2,5,0
5.76,2,ME,0,2,2,8,1,2,0
8.68,2,IT,1,5,8,6,2,8,1
7.59,2,CSE,2,4,7,4,2,7,0
9.11,2,ME,2,5,7,4,2,7,0
6.5,2,ME,1,3,5,6,2,5,1
7.38,2,Civil,1,3,4,3,2,4,0
6.54,2,Civil,1,3,5,5,1,5,0
6.7,2,ECE,0,3,5,6,1,5,0
6.59,2,ME,0,4,7,6,2,7,0
9.16,2,ECE,2,6,9,5,3,9,1
9.15,2,IT,1,6,10,5,3,10,1
7.56,2,Civil,1,4,7,6,2,7,1
6.3,2,CSE,1,4,7,4,2,7,0
6.32,2,ME,1,4,7,5,2,7,0
7.77,2,ME,2,4,6,5,2,6,0
7.38,2,CSE,2,5,10,7,3,10,1
8.07,2,ECE,1,5,9,7,3,9,1
7.01,2,Civil,0,3,4,3,1,4,0
5.07,2,ME,0,2,2,6,0,2,0
6.47,2,ECE,1,3,5,8,2,5,0
8.8,2,Civil,0,4,6,4,2,6,0
7.63,2,IT,1,4,6,3,2,6,0
5.88,2,Civil,1,3,4,1,1,4,0
5.35,2,ECE,0,2,3,2,1,3,0
6.38,2,IT,0,3,4,4,1,4,0
7.59,2,Civil,0,4,6,4,2,6,0
6.75,2,ECE,0,2,2,5,1,2,0
7.27,2,Civil,1,3,3,6,1,3,0
7.68,2,CSE,2,4,6,5,2,6,1
7.58,2,IT,2,4,7,8,2,7,1
6.79,2,ECE,0,3,5,4,2,5,0
7.83,2,CSE,1,4,7,3,2,7,0
6.21,2,IT,0,3,3,3,1,3,0
7.12,2,IT,1,4,6,5,2,6,0
6.31,2,ECE,0,4,6,5,2,6,0
4.87,2,ME,0,1,1,3,0,1,0
6.97,2,ME,0,3,5,6,2,5,1
8.4,2,IT,1,5,9,6,3,9,1
6.05,2,ECE,0,3,4,5,1,4,0
6.99,2,ECE,1,4,6,5,2,6,1
8.04,2,ME,1,4,5,6,2,5,1
4.5,2,CSE,0,1,1,4,0,1,0
6.38,2,ME,0,3,4,5,1,4,0
8.15,2,CSE,1,4,6,8,2,6,1
7.37,2,IT,1,5,8,4,3,8,0
6.54,2,ME,1,4,7,8,2,7,1
6.62,2,Civil,0,3,3,7,1,3,0
6.78,2,CSE,1,4,7,5,2,7,1
6.71,2,ME,0,3,3,8,1,3,0
6.79,2,Civil,0,3,4,4,1,4,0
7.08,2,IT,2,5,9,4,3,9,0
7.78,2,ECE,2,5,8,3,2,8,0
